Make	Fuel	EngineCylinders	AverageHighwayMPG	AverageCityMPG	Luxury
Acura	Gasoline	4	35	25	Yes
Acura	Gasoline	6	28	21	Yes
Alfa Romeo	Gasoline	4	33	24	Yes
Alfa Romeo	Gasoline	6	24	17	Yes
Aston Martin	Gasoline	12	19	12	Yes
Audi	Gasoline	4	30	23	Yes
Audi	Gasoline	6	27	19	Yes
Audi	Gasoline	8	26	17	Yes
Audi	Gasoline	10	22	14	Yes
Audi	Gasoline	4	32	24	Yes
Bentley	Gasoline	8	22	13	Yes
Bentley	Gasoline	12	20	12	Yes
BMW	Diesel	4	41	30	Yes
BMW	Diesel	6	29	23	Yes
BMW	Electricity	0	109	133	Yes
BMW	Gasoline	2	33	36	Yes
BMW	Gasoline	3	29	28	Yes
BMW	Gasoline	4	32	23	Yes
BMW	Gasoline	6	28	19	Yes
BMW	Gasoline	8	23	15	Yes
BMW	Gasoline	12	20	13	Yes
Buick	Gasoline	4	27	20	Yes
Buick	Gasoline	4	31	23	Yes
Buick	Gasoline	6	26	18	Yes
Cadillac	Gasoline	4	30	22	Yes
Cadillac	Gasoline	6	25	17	Yes
Cadillac	Gasoline	8	21	14	Yes
Cadillac	Gasoline	4	32	22	Yes
Cadillac	Gasoline	6	26	18	Yes
Cadillac	Gasoline	8	21	15	Yes
Chevrolet	Diesel	4	29	21	No
Chevrolet	Electricity	0	110	128	No
Chevrolet	Gasoline	4	31	21	No
Chevrolet	Gasoline	8	23	15	No
Chevrolet	Gasoline	4	34	27	No
Chevrolet	Gasoline	6	24	17	No
Chevrolet	Gasoline	8	21	15	No
Chrysler	Gasoline	8	25	16	Yes
Chrysler	Gasoline	4	36	23	Yes
Chrysler	Gasoline	6	29	20	Yes
Dodge	Gasoline	8	24	15	No
Dodge	Gasoline	8	23	14	No
Dodge	Gasoline	10	19	12	No
Dodge	Gasoline	4	25	19	No
Dodge	Gasoline	6	27	18	No
Ferrari	Gasoline	8	22	16	Yes
Ferrari	Gasoline	12	16	12	Yes
Fiat	Electricity	0	103	121	No
Fiat	Gasoline	4	34	26	No
Fiat	Gasoline	4	30	22	No
Ford	Electricity	0	96	118	No
Ford	Gasoline	4	25	19	No
Ford	Gasoline	6	18	11	No
Ford	Gasoline	8	21	14	No
Ford	Gasoline	3	40	29	No
Ford	Gasoline	4	31	24	No
Ford	Gasoline	6	23	17	No
Ford	Gasoline	8	22	15	No
Genesis	Gasoline	6	24	17	Yes
Genesis	Gasoline	8	23	15	Yes
Genesis	Gasoline	6	27	17	Yes
GMC	Diesel	4	29	21	No
GMC	Gasoline	4	27	20	No
GMC	Gasoline	6	23	17	No
GMC	Gasoline	8	21	15	No
Honda	Gasoline	4	38	30	No
Honda	Gasoline	4	37	29	No
Honda	Gasoline	6	28	19	No
Hyundai	Electricity	0	122	150	No
Hyundai	Gasoline	4	34	27	No
Hyundai	Gasoline	6	25	18	No
Infiniti	Gasoline	4	30	22	Yes
Infiniti	Gasoline	6	27	20	Yes
Infiniti	Gasoline	8	22	15	Yes
Infiniti	Gasoline	4	27	25	Yes
Jaguar	Diesel	4	39	30	Yes
Jaguar	Gasoline	4	30	21	Yes
Jaguar	Gasoline	6	26	18	Yes
Jaguar	Gasoline	8	23	15	Yes
Jeep	Gasoline	6	27	19	No
Jeep	Gasoline	8	22	14	No
Jeep	Gasoline	4	31	24	No
Jeep	Gasoline	8	19	13	No
Jeep	Gasoline	4	27	21	No
Jeep	Gasoline	6	22	17	No
Kia	Electricity	0	92	120	No
Kia	Gasoline	8	23	15	No
Kia	Gasoline	4	33	27	No
Kia	Gasoline	6	25	18	No
Lamborghini	Gasoline	10	21	14	Yes
Lamborghini	Gasoline	12	17	10	Yes
Land Rover	Diesel	6	28	22	Yes
Land Rover	Gasoline	4	27	20	Yes
Land Rover	Gasoline	6	23	17	Yes
Land Rover	Gasoline	8	19	14	Yes
Lexus	Gasoline	4	30	22	Yes
Lexus	Gasoline	6	28	21	Yes
Lexus	Gasoline	8	22	16	Yes
Lexus	Gasoline	4	36	39	Yes
Lexus	Gasoline	6	28	20	Yes
Lincoln	Gasoline	4	29	23	Yes
Lincoln	Gasoline	6	24	16	Yes
Lotus	Gasoline	6	24	17	Yes
Maserati	Gasoline	6	24	16	Yes
Maserati	Gasoline	8	20	14	Yes
Mazda	Gasoline	4	34	26	No
Mazda	Gasoline	4	35	27	No
McLaren Automotive	Gasoline	8	23	16	Yes
Mercedes-Benz	Electricity	0	82	85	Yes
Mercedes-Benz	Gasoline	4	30	23	Yes
Mercedes-Benz	Gasoline	6	25	19	Yes
Mercedes-Benz	Gasoline	8	22	16	Yes
Mercedes-Benz	Gasoline	12	20	13	Yes
MINI	Gasoline	4	33	24	No
Mitsubishi	Electricity	0	102	121	No
Mitsubishi	Gasoline	6	27	20	No
Mitsubishi	Gasoline	3	42	35	No
Mitsubishi	Gasoline	4	31	24	No
Nissan	Electricity	0	101	124	No
Nissan	Gasoline	4	31	26	No
Nissan	Gasoline	6	26	18	No
Nissan	Gasoline	4	33	26	No
Nissan	Gasoline	6	25	18	No
Nissan	Gasoline	8	20	14	No
Porsche	Gasoline	4	27	21	Yes
Porsche	Gasoline	6	26	19	Yes
Porsche	Gasoline	8	21	14	Yes
Ram	Gasoline	8	21	14	No
Ram	Gasoline	4	28	21	No
Ram	Gasoline	6	24	17	No
Rolls-Royce	Gasoline	12	19	12	Yes
Roush Performance	Gasoline	8	23	14	Yes
smart	Gasoline	3	39	32	No
Subaru	Gasoline	4	27	21	No
Subaru	Gasoline	4	33	25	No
Subaru	Gasoline	6	28	20	No
Tesla	Electricity	0	98	92	Yes
Toyota	Gasoline	4	30	23	No
Toyota	Gasoline	4	35	32	No
Toyota	Gasoline	6	25	20	No
Toyota	Gasoline	8	18	13	No
Volkswagen	Gasoline	4	28	21	No
Volkswagen	Gasoline	4	33	24	No
Volkswagen	Gasoline	6	25	18	No
Volvo	Gasoline	4	29	22	No
Volvo	Gasoline	4	32	23	No
