Model Yr ,Division,Carline,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Trans Desc,# Gears,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. 
2022,Mini,COOPER SE HARDTOP 2 DOOR,,Auto(A1),119,100,110,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2022,Mini,COOPER SE HARDTOP 2 DOOR,,Auto(A1),28,34,31,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2022,Chevrolet,BOLT EUV,,Auto(AV),125,104,115,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2022,Chevrolet,BOLT EUV,,Auto(AV),27,32,29,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,550,550
2022,Chevrolet,BOLT EV,,Auto(AV),131,109,120,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2022,Chevrolet,BOLT EV,,Auto(AV),26,31,28,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,550,550
2021,Audi,e-tron,,Auto(A1),78,77,78,Automatic,1,All Wheel Drive,,Electricity,MPG,850,850
2021,Audi,e-tron,,Auto(A1),43,43,43,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,Audi,e-tron Sportback,,Auto(A1),76,78,77,Automatic,1,All Wheel Drive,,Electricity,MPG,850,850
2021,Audi,e-tron Sportback,,Auto(A1),44,43,44,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,BMW,I3,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2021,BMW,I3,,Auto(A1),27,33,30,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,600,600
2021,BMW,I3s,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2021,BMW,I3s,,Auto(A1),27,33,30,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,600,600
2021,Chevrolet,BOLT EV,,Auto(AV),127,108,118,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2021,Chevrolet,BOLT EV,,Auto(AV),26,31,29,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,550,550
2021,Ford,MUSTANG MACH-E AWD,,Auto(A1),100,86,93,Automatic,1,Part-time 4-Wheel Drive,,Electricity,MPG,700,700
2021,Ford,MUSTANG MACH-E AWD,,Auto(A1),34,39,36,Automatic,1,Part-time 4-Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2021,Ford,MUSTANG MACH-E AWD EXTENDED,,Auto(A1),96,84,90,Automatic,1,All Wheel Drive,,Electricity,MPG,750,750
2021,Ford,MUSTANG MACH-E AWD EXTENDED,,Auto(A1),35,40,37,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,750,750
2021,Ford,MUSTANG MACH-E CALIFORNIA ROUTE1,,Auto(A1),108,94,101,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,650,650
2021,Ford,MUSTANG MACH-E CALIFORNIA ROUTE1,,Auto(A1),31,36,33,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,650,650
2021,Ford,MUSTANG MACH-E RWD,,Auto(A1),105,93,100,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,650,650
2021,Ford,MUSTANG MACH-E RWD,,Auto(A1),32,36,34,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,650,650
2021,Ford,MUSTANG MACH-E RWD EXTENDED,,Auto(A1),104,90,97,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,700,700
2021,Ford,MUSTANG MACH-E RWD EXTENDED,,Auto(A1),32,37,35,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,700,700
2021,HYUNDAI MOTOR COMPANY,Ioniq Electric,,Auto(A1),145,121,133,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,500,500
2021,HYUNDAI MOTOR COMPANY,Ioniq Electric,,Auto(A1),23,28,25,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,500,500
2021,HYUNDAI MOTOR COMPANY,Kona Electric,,Auto(A1),132,108,120,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2021,HYUNDAI MOTOR COMPANY,Kona Electric,,Auto(A1),25,31,27,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,550,550
2021,Jaguar,I-PACE EV400,,Auto(A1),80,72,76,Automatic,1,4-Wheel Drive,,Electricity,MPG,850,850
2021,Jaguar,I-PACE EV400,,Auto(A1),42,47,44,Automatic,1,4-Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,KIA MOTORS CORPORATION,Niro Electric,,Auto(A1),123,102,112,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2021,KIA MOTORS CORPORATION,Niro Electric,,Auto(A1),27,33,30,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2021,Mini,COOPER SE HARDTOP 2 DOOR,,Auto(A1),115,100,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2021,Mini,COOPER SE HARDTOP 2 DOOR,,Auto(A1),29,34,31,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2021,NISSAN,LEAF SV/SL,,Auto(A1),114,94,104,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,650,650
2021,NISSAN,LEAF SV/SL,,Auto(A1),29,36,32,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,650,650
2021,NISSAN,LEAF,,Auto(A1),123,99,111,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2021,NISSAN,LEAF,,Auto(A1),27,34,30,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2021,NISSAN,LEAF,,Auto(A1),118,97,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2021,NISSAN,LEAF,,Auto(A1),29,35,31,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2021,Kandi America,Kandi K27,,Auto(A1),127,102,114,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2021,Kandi America,Kandi K27,,Auto(A1),27,33,30,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2021,Polestar Automotive USA Inc,Polestar 2,,Auto(A1),96,88,92,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2021,Polestar Automotive USA Inc,Polestar 2,,Auto(A1),35,38,37,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2021,Porsche,Taycan 4S Perf Battery,,Auto(A2),79,80,79,Automatic,2,All Wheel Drive,,Electricity,MPG,850,850
2021,Porsche,Taycan 4S Perf Battery,,Auto(A2),43,42,42,Automatic,2,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,Porsche,Taycan 4S Perf Battery Plus,,Auto(A2),75,81,77,Automatic,2,All Wheel Drive,,Electricity,MPG,850,850
2021,Porsche,Taycan 4S Perf Battery Plus,,Auto(A2),45,42,43,Automatic,2,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,Porsche,Taycan  Perf Battery,,Auto(A2),76,84,79,Automatic,2,"2-Wheel Drive, Rear",,Electricity,MPG,800,800
2021,Porsche,Taycan  Perf Battery,,Auto(A2),43,39,41,Automatic,2,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,800,800
2021,Porsche,Taycan Perf Battery Plus,,Auto(A2),71,80,75,Automatic,2,"2-Wheel Drive, Rear",,Electricity,MPG,900,900
2021,Porsche,Taycan Perf Battery Plus,,Auto(A2),47,42,45,Automatic,2,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,900,900
