Model Year,Division,Carline,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Trans Desc,# Gears,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. 
2022,Audi,R8 Coupe,10,Auto(AM-S7),13,19,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Audi,R8 Coupe RWD,10,Auto(AM-S7),14,23,17,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,2600,2600
2022,Audi,R8 Spyder,10,Auto(AM-S7),13,19,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Audi,R8 Spyder RWD,10,Auto(AM-S7),14,23,17,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,2600,2600
2022,Audi,TT Roadster quattro,4,Auto(AM-S7),23,30,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,1350,1350
2022,BMW,Z4 M40i,6,Auto(S8),22,29,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,BMW,Z4 sDrive30i,4,Auto(S8),25,32,28,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,Jaguar,F-TYPE P450 RWD Convertible,8,Auto(S8),17,24,19,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,Jaguar,F-TYPE P450 RWD Coupe,8,Auto(S8),17,24,19,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,Jaguar,F-TYPE R AWD Convertible,8,Auto(S8),16,24,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2450,2450
2022,Jaguar,F-TYPE R AWD Coupe,8,Auto(S8),16,24,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2450,2450
2022,Lamborghini,Huracan Coupe,10,Auto(AM-S7),13,18,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Lamborghini,Huracan Coupe RWD,10,Auto(AM-S7),13,18,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Lamborghini,Huracan Spyder,10,Auto(AM-S7),13,18,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Lamborghini,Huracan Spyder RWD,10,Auto(AM-S7),13,18,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,TOYOTA,Supra 2.0,4,Auto(S8),25,32,28,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,TOYOTA,Supra 3.0,6,Auto(S8),22,30,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,Bentley,Continental GT V8 Convertible,8,Auto(AM-S8),16,26,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,Mini,COOPER CONVERTIBLE,3,Auto(AM-S7),29,38,32,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1400,1400
