ModelYear,Make,Model,Cylinders,Transmission,CityFE,HwyFE,CombFE,Trans,Gears,Drive,MaxEthanol,FuelType,FuelUnit,AnnualFuelCost
2022,Audi,A7 TFSI e quattro,4,Auto(AM-S7),25,31,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1200
2022,Audi,Q5 TFSI e quattro,4,Auto(AM-S7),25,27,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1350
2022,Mini,COOPER SE COUNTRYMAN ALL4,3,Auto(S6),29,30,29,Semi-Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1250
2022,HYUNDAI MOTOR COMPANY,Ioniq Plug-in Hybrid,4,Auto(AM-S6),52,51,52,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,600
2022,HYUNDAI MOTOR COMPANY,Santa Fe Plug-in Hybrid,4,Auto(AM-S6),33,32,33,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,950
2022,KIA MOTORS CORPORATION,Niro Plug-in Hybrid,4,Auto(AM-S6),48,44,46,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,700
2022,Land Rover,Range Rover Sport PHEV,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2000
2021,Audi,A7 quattro,4,Auto(AM-S7),26,34,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1250
2021,Audi,A8L,6,Auto(S8),21,26,23,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1700
2021,Audi,Q5,4,Auto(AM-S7),25,29,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1450
2021,Bentley,Bentayga,6,Auto(S8),17,21,19,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2050
2021,BMW,330e,4,Auto(S8),25,33,28,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1300
2021,BMW,330e xDrive,4,Auto(S8),22,30,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1500
2021,BMW,530e,4,Auto(S8),24,29,26,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1450
2021,BMW,530e xDrive,4,Auto(S8),22,28,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1550
2021,BMW,745e xDrive,6,Auto(S8),19,26,22,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1800
2021,BMW,I3 with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2021,BMW,I3s with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2021,BMW,X3 xDrive30e,4,Auto(S8),21,27,24,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650
2021,BMW,X5 xDrive45e,6,Auto(S8),19,22,20,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1700
2021,Chrysler,Pacifica Hybrid,6,Auto(AV),29,30,30,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050
2021,"Ferrari North America, Inc.",SF90 Stradale Coupe,8,Auto(AM8),16,20,18,Automated Manual,8,"Charge depleting: AWD; Charge Sustainging: 2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2400
2021,Ford,ESCAPE FWD PHEV,4,Auto(AV),43,38,40,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2021,Honda,Clarity,4,Auto(AV),44,40,42,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,700
2021,HYUNDAI MOTOR COMPANY,Ioniq Plug-in Hybrid,4,Auto(AM-S6),52,51,52,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,650
2021,Land Rover,Range Rover PHEV,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100
2021,Land Rover,Range Rover Sport PHEV,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100
2021,Jeep,Wrangler 4dr 4xe,4,Auto(A8),20,20,20,Automatic,8,4-Wheel Drive,10,Gasoline (Regular Unleaded Recommended),MPG,1700
2021,Karma Automotive LLC,GS-6 (21-inch wheels),3,Auto(A1),27,25,26,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1100
2021,Karma Automotive LLC,GS-6 (22-inch wheels),3,Auto(A1),22,21,22,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1350
2021,Karma Automotive LLC,Revero GT (21-inch wheels),3,Auto(A1),27,25,26,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1100
2021,Karma Automotive LLC,Revero GT (22-inch wheels),3,Auto(A1),22,21,22,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1350
2021,KIA MOTORS CORPORATION,Niro Plug-in Hybrid,4,Auto(AM-S6),48,44,46,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2021,Lincoln,AVIATOR AWD PHEV,6,Auto(S10),22,25,23,Semi-Automatic,10,Part-time 4-Wheel Drive,85,Gasoline (Regular Unleaded Recommended),MPG,1500
2021,Lincoln,CORSAIR AWD PHEV,4,Auto(AV),34,32,33,Continuously Variable,1,Part-time 4-Wheel Drive,85,Gasoline (Regular Unleaded Recommended),MPG,1000
